n	section	kind	id	table	row	col	rowLabel	cellText	colHeader	items	placeholder
1	1	TEXT	1449190965	2	2	None	会社名				Click here to enter text.
2	1	TEXT	-1156292282	2	3	None	会社名(英語表記)				Click here to enter text.
3	1	TEXT	529379009	2	4	None	住所				Click here to enter text.
4	1	TEXT	-418026165	2	5	None	市				Click here to enter text.
5	1	TEXT	1042330633	2	6	None	国				Click here to enter text.
6	1	TEXT	-2048822212	2	7	None	ご担当者名				Click here to enter text.
7	1	TEXT	-472367275	2	8	None	役職				Click here to enter text.
8	1	TEXT	937183514	2	9	None	電話番号				Click here to enter text.
9	1	TEXT	-630401923	2	10	None	メールアドレス				Click here to enter text.
10	2	CHK	412278547	3	2	2	支払いの通貨	USD			☐
11	2	CHK	-590393924	3	2	3	支払いの通貨	RMB			☐
12	2	CHK	-543597345	3	2	4	支払いの通貨	EURO			☐
13	2	CHK	-1625222267	3	2	5	支払いの通貨	TWD			☐
14	2	CHK	1513795960	3	2	6	支払いの通貨	TRY			☐
15	2	CHK	-1949686403	3	2	7	支払いの通貨	CHF			☐
16	2	CHK	-1972205935	3	2	8	支払いの通貨	INR			☐
17	2	CHK	1462759587	3	2	9	支払いの通貨	BDT			☐
18	2	CHK	-701012371	3	3	2		JPY			☐
19	2	CHK	-712268944	3	3	3		PKR			☐
20	2	CHK	1497387561	3	3	4		KRW			☐
21	2	CHK	-1556236745	3	3	5		IDR			☐
22	2	CHK	-33430468	3	3	6		VND			☐
23	2	CHK	-1826345278	3	3	7		OTHER			☐
24	2	TEXT	768269249	3	3	None					Click here to enter text.
25	2	TEXT	-1677877587	3	4	None	Tax ID #				Click here to enter text.
26	2	CHK	2035302782	3	6	None	ラッシュ 現場訪問 / 評価 (7 営業日以内)				☐
27	2	CHK	1934784239	3	7	None	ラッシュ認証決定（3営業日以内）				☐
28	2	CHK	-1425955768	3	8	2	支払企業の情報	(申請者と同様)　その他の場合は以下にてご記入ください			☐
29	2	TEXT	-1006742292	3	9	None	会社名				Click here to enter text.
30	2	TEXT	974560995	3	10	None	会社名(英語表記)				Click here to enter text.
31	2	TEXT	-1142119863	3	11	None	住所Indirizzo:				Click here to enter text.
32	2	TEXT	438799683	3	12	None	市				Click here to enter text.
33	2	TEXT	-1590993068	3	13	None	国				Click here to enter text.
34	2	TEXT	2118711017	3	14	None	ご担当者様				Click here to enter text.
35	2	TEXT	-1012294144	3	15	None	役職				Click here to enter text.
36	2	TEXT	-743029044	3	16	None	電話番号				Click here to enter text.
37	2	TEXT	1299337369	3	17	None	メールアドレス				Click here to enter text.
38	3	CHK	-531503724	3	21	1	Organic Content Standard (OCS)オーガニックコンテントスタンダード(OCS)OCS 製品には、少なくとも 5% 	Organic Content Standard (OCS)オーガニックコンテントスタンダード(OCS)OCS 製品には、少なくとも 5% 	セクション2.支払情報		☐
39	3	CHK	-1324353010	3	21	3	Organic Content Standard (OCS)オーガニックコンテントスタンダード(OCS)OCS 製品には、少なくとも 5% 	以前/現在、別の認証機関 (CB) から OCS 認証を受けている*			☐
40	3	CHK	2043393801	3	22	3		以前/現在、別の認証機関 (CB) から GOTS 認証を受けている*			☐
41	3	TEXT	46811034	3	23	None					Click here to enter text.
42	3	TEXT	1074012527	3	24	None					Click here to enter text.
43	3	TEXT	1262022565	3	25	None					Click here to enter text.
44	3	CHK	2134820641	3	26	1	Global Organic Textile Standard (GOTS)グローバルオーガニックテキスタイルスタンダード(GOTS)GOT	Global Organic Textile Standard (GOTS)グローバルオーガニックテキスタイルスタンダード(GOTS)GOT	セクション2.支払情報		☐
45	3	CHK	-1591456014	3	26	3	Global Organic Textile Standard (GOTS)グローバルオーガニックテキスタイルスタンダード(GOTS)GOT	以前/現在、別の認証機関 (CB) から GOTS 認証を受けている*			☐
46	3	CHK	-1695070635	3	27	3		以前/現在、別の認証機関 (CB) から OCS認証を受けている*			☐
47	3	TEXT	-1380931630	3	28	None					Click here to enter text.
48	3	TEXT	1976795402	3	29	None					Click here to enter text.
49	3	TEXT	-1023396511	3	30	None					Click here to enter text.
50	3	CHK	1648785246	3	31	1	Naturtextil IVN BESTナチュラルテキスタイル IVN ベストIVN BEST 製品には、付属品を除き、100% オーガニッ	Naturtextil IVN BESTナチュラルテキスタイル IVN ベストIVN BEST 製品には、付属品を除き、100% オーガニッ	セクション2.支払情報		☐
51	3	CHK	1867705048	3	31	3	Naturtextil IVN BESTナチュラルテキスタイル IVN ベストIVN BEST 製品には、付属品を除き、100% オーガニッ	以前/現在、別の認証機関 (CB) から IVN認証を受けている*			☐
52	3	CHK	-712807395	3	32	3		以前/現在、別の認証機関 (CB) からGOTS認証を受けている*			☐
53	3	TEXT	653955735	3	33	None					Click here to enter text.
54	3	TEXT	30384043	3	34	None					Click here to enter text.
55	3	TEXT	-1226450045	3	35	None					Click here to enter text.
56	3	CHK	1942951238	3	36	1	Global Recycled Standard (GRS)グローバルリサイクルドスタンダード(GRS)GRS 製品には、少なくとも 20%	Global Recycled Standard (GRS)グローバルリサイクルドスタンダード(GRS)GRS 製品には、少なくとも 20%	セクション2.支払情報		☐
57	3	CHK	-1351418018	3	36	3	Global Recycled Standard (GRS)グローバルリサイクルドスタンダード(GRS)GRS 製品には、少なくとも 20%	以前/現在、別の認証機関 (CB) から GRS 認証を受けている*			☐
58	3	CHK	-1464346178	3	37	3		以前/現在、別の認証機関 (CB) から RCS 認証を受けている*			☐
59	3	TEXT	1345975495	3	38	None					Click here to enter text.
60	3	TEXT	-613135995	3	39	None					Click here to enter text.
61	3	TEXT	-1054542942	3	40	None					Click here to enter text.
62	3	CHK	1485124826	3	41	1	Recycled Claim Standard (RCS)リサイクルドクレイムスタンダード(RCS)RCS 製品には、少なくとも 5% の認	Recycled Claim Standard (RCS)リサイクルドクレイムスタンダード(RCS)RCS 製品には、少なくとも 5% の認	セクション2.支払情報		☐
63	3	CHK	174620194	3	41	3	Recycled Claim Standard (RCS)リサイクルドクレイムスタンダード(RCS)RCS 製品には、少なくとも 5% の認	以前/現在、別の認証機関 (CB) から RCS 認証を受けている*			☐
64	3	CHK	1175080653	3	42	3		以前/現在、別の認証機関 (CB) から GRS 認証を受けている*			☐
65	3	TEXT	-1738241336	3	43	None					Click here to enter text.
66	3	TEXT	1873115256	3	44	None					Click here to enter text.
67	3	TEXT	-346644575	3	45	None					Click here to enter text.
68	3	CHK	-1649744621	3	46	1	Responsible Animal Fiber (RAF)レスポンシブルアニマルファイバー Responsible Wool Standa	Responsible Animal Fiber (RAF)レスポンシブルアニマルファイバー Responsible Wool Standa	セクション2.支払情報		☐
69	3	CHK	828242657	3	46	1	Responsible Animal Fiber (RAF)レスポンシブルアニマルファイバー Responsible Wool Standa	Responsible Animal Fiber (RAF)レスポンシブルアニマルファイバー Responsible Wool Standa	セクション2.支払情報		☐
70	3	CHK	58533641	3	46	1	Responsible Animal Fiber (RAF)レスポンシブルアニマルファイバー Responsible Wool Standa	Responsible Animal Fiber (RAF)レスポンシブルアニマルファイバー Responsible Wool Standa	セクション2.支払情報		☐
71	3	CHK	-964415679	3	46	1	Responsible Animal Fiber (RAF)レスポンシブルアニマルファイバー Responsible Wool Standa	Responsible Animal Fiber (RAF)レスポンシブルアニマルファイバー Responsible Wool Standa	セクション2.支払情報		☐
72	3	CHK	-312713445	3	46	3	Responsible Animal Fiber (RAF)レスポンシブルアニマルファイバー Responsible Wool Standa	以前/現在、別の認証機関 (CB) から RAF 認証を受けている*			☐
73	3	TEXT	-1546208832	3	47	None					Click here to enter text.
74	3	TEXT	1616795039	3	48	None					Click here to enter text.
75	3	TEXT	36253275	3	49	None					Click here to enter text.
76	3	CHK	-1782177920	3	50	1	Responsible Down Standard (RDS)レスポンシブルダウンスタンダード(RDS)RDS製品は、最低5%の認証された含	Responsible Down Standard (RDS)レスポンシブルダウンスタンダード(RDS)RDS製品は、最低5%の認証された含	セクション2.支払情報		☐
77	3	CHK	-1473747426	3	50	3	Responsible Down Standard (RDS)レスポンシブルダウンスタンダード(RDS)RDS製品は、最低5%の認証された含	以前/現在、別の認証機関 (CB) から RDS 認証を受けている*			☐
78	3	TEXT	736371919	3	51	None					Click here to enter text.
79	3	TEXT	1499081315	3	52	None					Click here to enter text.
80	3	TEXT	1427851299	3	53	None					Click here to enter text.
81	4	CHK	1593663981	4	4	1	ホームテキスタイル / 寝具	ホームテキスタイル / 寝具	セクション4.製品		☐
82	4	TEXT	1872879066	4	4	None	ホームテキスタイル / 寝具				Click here to enter text.
83	4	CHK	-1725905022	4	5	1	アパレル	アパレル	セクション4.製品		☐
84	4	TEXT	1994675874	4	5	None	アパレル				Click here to enter text.
